date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:12	67195/67195	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2002:26:11%20GMT	https://sites.google.com/view/nkarapetyan	/home/nare/web//home/nare/web/sites.google.com/view/nkarapetyan.html	(from )
21:26:13	67/67	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Dec%202020%2002:26:12%20GMT	https://sites.google.com/robots.txt		(from )
21:26:13	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/favicon_2.ico	/home/nare/web//home/nare/web/ssl.gstatic.com/atari/images/favicon_2.ico	(from https://sites.google.com/view/nkarapetyan)
21:26:14	1186/1186	---MC-	200	added ('OK')	text/css	date:Fri,%2011%20Dec%202020%2002:26:14%20GMT	https://fonts.googleapis.com/css?family=Lato%3A300%2C300italic%2C400%2C400italic%2C700%2C700italic&display=swap	/home/nare/web//home/nare/web/fonts.googleapis.com/cssbf1a.css	(from https://sites.google.com/view/nkarapetyan)
21:26:15	1773/1773	---MC-	200	added ('OK')	text/css	date:Fri,%2011%20Dec%202020%2002:26:15%20GMT	https://fonts.googleapis.com/css?family=Google+Sans:400,500|Roboto:300,400,500,700|Source+Code+Pro:400,700&display=swap	/home/nare/web//home/nare/web/fonts.googleapis.com/css9f00.css	(from https://sites.google.com/view/nkarapetyan)
21:26:16	211/211	---MC-	200	added ('OK')	text/css	date:Fri,%2011%20Dec%202020%2002:26:16%20GMT	https://fonts.googleapis.com/css?family=Lora%3A500&display=swap	/home/nare/web//home/nare/web/fonts.googleapis.com/css9bbd.css	(from https://sites.google.com/view/nkarapetyan)
21:26:19	345716/345716	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Dec%202020%2020:24:20%20GMT	https://www.gstatic.com/_/atari/_/ss/k=atari.vw.0XopOYowshw.L.X.O/d=1/ct=zgms/rs=AGEqA5m9xej2TNGkcGWUObxsePaI8L3Gxw	/home/nare/web//home/nare/web/www.gstatic.com/_/atari/_/ss/k=atari.vw.0XopOYowshw.L.X.O/d=1/ct=zgms/rs=AGEqA5m9xej2TNGkcGWUObxsePaI8L3Gxw.css	(from https://sites.google.com/view/nkarapetyan)
21:26:20	12530/12530	---MC-	200	added ('OK')	application/javascript	date:Fri,%2011%20Dec%202020%2002:26:19%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	/home/nare/web//home/nare/web/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/nkarapetyan)
21:26:20	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	/home/nare/web//home/nare/web/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/nkarapetyan)
21:26:21	67218/67218	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2002:26:20%20GMT	https://sites.google.com/view/nkarapetyan/about	/home/nare/web//home/nare/web/sites.google.com/view/nkarapetyan/about.html	(from https://sites.google.com/view/nkarapetyan)
21:26:22	64038/64038	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2002:26:21%20GMT	https://sites.google.com/view/nkarapetyan/publications	/home/nare/web//home/nare/web/sites.google.com/view/nkarapetyan/publications.html	(from https://sites.google.com/view/nkarapetyan)
21:26:23	71343/71343	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2002:26:22%20GMT	https://sites.google.com/view/nkarapetyan/project-page	/home/nare/web//home/nare/web/sites.google.com/view/nkarapetyan/project-page.html	(from https://sites.google.com/view/nkarapetyan)
21:26:25	10712/10712	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh6.googleusercontent.com/phLdt7dBzoSKRUHjG70jjYeNxBQsnFXysWF1gHYrMSObatcjR1z30DbyEIrKQDM5xogw1CkEw9Y2_Fyrxg1yjB8UgpwnTzL1pEa18pF39jNdg_8Y6A=w1280	/home/nare/web//home/nare/web/lh6.googleusercontent.com/unnamed.png	(from https://sites.google.com/view/nkarapetyan)
21:26:26	15939/15939	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh4.googleusercontent.com/83qKkINHEHXDR04Xc4GAsUZqrLI8ZFESZos1xemaVlMoOQ0DdDf_XL9AsoXTQBCTRJiiuNbbig=w1280	/home/nare/web//home/nare/web/lh4.googleusercontent.com/unnamed.png	(from https://sites.google.com/view/nkarapetyan)
21:26:26	155166/155166	---M--	200	added ('OK')	image/jpeg	etag:%22v1%22	https://lh3.googleusercontent.com/ORb0CyclKEEf8AZzfk2pl5RRwBtn1wpqY_Wy7kr1fiwVZxs0V1l7IVv12EMcaFkresLPkgXTaaCQc5-cdP0JQHE3xNZsOTYbsV2E0RLovOUF_PJQPQ=w1280	/home/nare/web//home/nare/web/lh3.googleusercontent.com/unnamed.jpg	(from https://sites.google.com/view/nkarapetyan)
21:26:26	4268/4268	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh5.googleusercontent.com/AyzDm11gEB7iKCBWrXE4RZg4goYJOejD9CmMh8toYxw5wFUhgSSeHZML_RcpokBOJFazSDU18A=w1280	/home/nare/web//home/nare/web/lh5.googleusercontent.com/unnamed.png	(from https://sites.google.com/view/nkarapetyan)
21:26:27	8862/8862	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh5.googleusercontent.com/IBjTkIkdOsdkHWV2TteHP3QTZ091L4dkWcsnxIuhraq3yrXgGwHFCQQqHSmBqUfIBT7ovSvq4Q=w1280	/home/nare/web//home/nare/web/lh5.googleusercontent.com/unnamed-2.png	(from https://sites.google.com/view/nkarapetyan)
21:26:29	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Dec%202020%2002:26:28%20GMT	https://fonts.googleapis.com/robots.txt		(from https://sites.google.com/view/nkarapetyan)
